assumed_quantum_runtime,assumed_classical_runtime,meaningful_domain_max,name,speedup_coarse,description,meaningful_domain,meaningful_domain_min
O(log(n)),O(2**(n/2)),,Hidden Shift,Superpolynomial,"We are given oracle access to some function <i>f</i> on \n \\( \\mathbb{Z}_N \\). We know that <i>f(x) = g(x+s)</i> where <i>g</i> is a known function \n and <i>s</i> is an unknown shift. The hidden shift problem is to find <i>s</i>. By\n reduction from Grover\'s problem it is clear that at least \\( \\sqrt{N} \\) queries\n are necessary to solve hidden shift in general. However, certain special cases of the\n hidden shift problem are solvable on quantum computers using <i>O(1)</i> queries. In \n particular, van Dam <i>et al.</i> showed that this can be done if <i>f</i> is a multiplicative\n character of a finite ring or field [<a href=""#vanDam_shift"">89</a>]. The previously \n discovered shifted Legendre symbol algorithm \n [<a href=""#vanDam_Legendre"">88</a>,<a href=""#vanDam_weighing"">86</a>] is subsumed as a\n special case of this, because the Legendre symbol  \\( \\left(\\frac{x}{p} \\right) \\)\n is a multiplicative character of \\( \\mathbb{F}_p \\).  No classical algorithm running in time\n <i>O</i>(polylog(<i>N</i>)) is known for these problems. Furthermore, the quantum algorithm\n for the shifted Legendre symbol problem would break a certain\n cryptographic pseudorandom generator given the ability to make\n quantum queries to the generator [<a href=""#vanDam_shift"">89</a>].\n A quantum speedup for hidden shift problems of difference sets is given in [<a href=""#Roet16"">312</a>],\n and this also subsumes the Legendre symbol problem as a special case.\n Roetteler has found exponential quantum speedups for \n finding hidden shifts of certain nonlinear Boolean functions\n [<a href=""#Roetteler08"">105</a>,<a href=""#Roetteler_quad"">130</a>]. Building on this work,\n Gavinsky, Roetteler, and Roland have shown [<a href=""#Gavinsky"">142</a>] that the hidden \n shift problem on random boolean functions \\( f:\\mathbb{Z}_2^n \\to \\mathbb{Z}_2 \\)\n has <i>O(n)</i> average case quantum complexity, whereas the classical query\n complexity is \\( \\Omega(2^{n/2}) \\). The results in [<a href=""#Ettinger_Hoyer"">143</a>],\n though they are phrased in terms of the hidden subgroup problem for the dihedral group, imply\n that the quantum <i>query</i> complexity of the hidden shift problem for an injective function\n on \\( \\mathbb{Z}_N \\) is <i>O</i>(log <i>n</i>), whereas the classical query complexity is \n \\( \\Theta(\\sqrt{N}) \\). However, the best known quantum <i>circuit</i> complexity for injective\n hidden shift on \\( \\mathbb{Z}_N \\) is \\( O(2^{C \\sqrt{\\log N}}) \\), achieved by Kuperberg\'s\n sieve algorithm [<a href=""#Kuperberg"">66</a>].\n",,
O ( frac(1)(n+1) binom(n+d)(d) ),,,Polynomial interpolation,Varies,"Let \\( p(x) = a_d x^d + \\ldots + a_1 x + a_0 \\) be a polynomial over the finite field \\( \\mathrm{GF}(q) \\). One is given access to an oracle that, given \\( x \\in \\mathrm{GF}(q) \\), returns \\( p(x) \\). The polynomial reconstruction problem is, by making queries to the oracle, to determine the coefficients \\( a_d,\\ldots,a_0 \\). Classically, \\( d + 1 \\) queries are necessary and sufficient. (In some sources use the term reconstruction instead of interpolation for this problem.) Quantumly, \\( d/2 + 1/2 \\) queries are necessary and \\( d/2 + 1 \\) queries are sufficient [<a href=""#interp1"">360</a>,<a href=""#interp2"">361</a>]. For multivariate polynomials of degree <i>d</i> in <i>n</i> variables the interpolation problem has classical query complexity \\( \\binom{n+d}{d} \\). As shown in [<a href=""#interp3"">387</a>], the quantum query complexity is \\( O \\left( \\frac{1}{n+1} \\binom{n+d}{d} \\right) \\) over \\( \\mathbb{R} \\) and \\( \\mathbb{C} \\) and it is \\( O \\left( \\frac{d}{n+d} \\binom{n+d}{d} \\right) \\) over \\( \\mathbb{F}_q \\) for sufficiently large <i>q</i>. Quantum algorithms have also been discovered for the case that the oracle returns \\( \\chi(f(x)) \\) where \\( \\chi \\) is a quadratic character of \\( \\mathrm{GF}(q) \\) [<a href=""#RS04"">390</a>], and the case where the oracle returns \\( f(x)^e \\) [<a href=""#IKS17"">392</a>]. These generalize the hidden shift algorithm of [<a href=""#vanDam_shift"">89</a>] and achieve an exponential speedup over classical computation. A quantum algorithm for reconstructing rational functions over finite fields given noisy and incomplete oracle access to the function values is given in [<a href=""#HRS05"">391</a>].\n",,
O((n/m)**(d/2) 2**(O(d**(3/2) sqrt( log(m))))),,,Pattern matching,Superpolynomial,"Given strings <i>T</i> of length <i>n</i>\nand <i>P</i> of length <i>m</i> &lt; <i>n</i>, both from some finite\nalphabet, the pattern matching problem is to find an occurrence\nof <i>P</i> as a substring of <i>T</i> or to report that <i>P</i> is\nnot a substring of <i>T</i>. More generally, <i>T</i> and <i>P</i>\ncould be <i>d</i>-dimensional arrays rather than one-dimensional\narrays (strings). Then, the pattern matching problem is to return the\nlocation of <i>P</i> as a   \\(m \\times m \\times \\ldots \\times m\\)\nblock within the \\(n \\times n \\times \\ldots \\times n\\) array <i>T</i>\nor report that no such location exists. The \\( \\Omega(\\sqrt{N}) \\)\nquery lower bound for unstructured search [<a href=""#BBBV"">216</a>]\nimplies that the worst-case quantum query complexity of this problem\nis \\( \\Omega ( \\sqrt{n} + \\sqrt{m} ) \\). A quantum algorithm achieving\nthis, up to logarithmic factors, was obtained in\n[<a href=""#RV00"">217</a>]. This quantum algorithm works through the\nuse of Grover\'s algorithm together with a classical method called\ndeterministic sampling. More recently, Montanaro showed that\nsuperpolynomial quantum speedup can be achieved on average case\ninstances of pattern matching, provided that <i>m</i> is greater than\nlogarithmic in <i>n</i>. Specifically, the quantum algorithm  given in\n[<a href=""#Montanaro14"">215</a>] solves average case pattern matching in \n\\( \\widetilde{O}((n/m)^{d/2} 2^{O(d^{3/2} \\sqrt{\\log m})})\\) time. This\nquantum algorithm is constructed by generalizing Kuperberg\'s quantum\nsieve algorithm [<a href=""#Kuperberg"">66</a>] for dihedral hidden subgroup and\nhidden shift problems so that it can operate in <i>d</i> dimensions\nand accomodate small amounts of noise, and then classically reducing the\npattern matching problem to this noisy <i>d</i>-dimensional version of\nhidden shift.\n",,
O(k**2 log(n)),,,Linear Systems,Superpolynomial,"We are given oracle access to an \\( n \\times n \\) matrix <i>A</i> and \n some description of a vector <i>b</i>. We wish to find some property of <i>f(A)b</i> \n for some efficiently computable function <i>f</i>.  Suppose <i>A</i> is a Hermitian matrix\n with  <i>O</i>(polylog <i>n</i>) nonzero entries in each row and condition number <i>k</i>.\n As shown in [<a href=""#HHL08"">104</a>], a quantum computer can in \\( O(k^2 \\log n) \\)\n time compute to polynomial precision various expectation values of operators with respect\n to the vector <i>f(A)b</i> (provided that a quantum state proportional to <i>b</i> is \n efficiently constructable). For certain functions, such as <i>f(x)=1/x</i>, this\n procedure can be extended to non-Hermitian and even non-square <i>A</i>. The \n runtime of this algorithm was subsequently improved to \\( O(k \\log^3 k \\log n) \\)\n in [<a href=""#Ambainis_linear"">138</a>]. Exponentially improved\n scaling of runtime with precision was obtained in\n [<a href=""#CKS15"">263</a>]. Extensions of this quantum\n algorithm have been applied to problems of estimating electromagnetic\n scattering crossections [<a href=""#CJS13"">249</a>] (see also [<a href=""#CJO17"">369</a>] for a different approach), solving linear\n differential equations [<a href=""#Berry10"">156</a>, <a href=""#MP16"">296</a>], estimating\n electrical resistance of networks [<a href=""#Wang14"">210</a>], least-squares\n curve-fitting [<a href=""#Wiebe_Braun_Lloyd12"">169</a>], solving Toeplitz systems \n [<a href=""#WYPGW16"">297</a>], and machine learning \n [<a href=""#LMR13"">214</a>,<a href=""#LGZ14"">222</a>,<a href=""#LMR13b"">250</a>,<a href=""#RML13"">251</a>,<a href=""#KP16"">309</a>]. Some\n limitations of the quantum machine learning algorithms based on\n linear systems are nicely summarized in [<a href=""#Aa15"">246</a>].\n In [<a href=""#Ta-Shma13"">220</a>] it was  shown that quantum\n computers can invert well-conditioned  \\( n \\times n \\) matrices\n using only \\( O( \\log n ) \\) qubits, whereas the best classical\n algorithm uses order \\( \\log^2 n \\) bits. Subsequent improvements to\n this quantum algorithm are given in [<a href=""#FL16"">279</a>].\n",,
0.433 log2(N),log2(N),,Ordered Search,Constant factor,"We are given oracle access to a list of <i>N</i> numbers in order \n from least to greatest. Given a number <i>x</i>, the task is to find out where in the \n list it would fit. Classically, the best possible algorithm is binary search which takes\n \\( \\log_2 N \\) queries. Farhi <i>et al.</i> showed that a quantum computer can achieve \n this using 0.53 \\( \\log_2 N \\) queries [<a href=""#FGGS99"">39</a>]. Currently, the best \n known deterministic quantum algorithm for this problem uses 0.433 \\( \\log_2 N \\)\n queries [<a href=""#Landahl"">103</a>]. A lower bound of \\( \\frac{\\ln 2}{\\pi} \\log_2 N \\)\n quantum queries has been proven for this problem\n [<a href=""#HNS01"">219</a>, <a href=""#Childs_Lee"">24</a>]. In\n [<a href=""#Ben_Or_Search"">10</a>], a randomized quantum algorithm is given whose expected\n query complexity is less than \\( \\frac{1}{3} \\log_2 N \\).\n",,
,O(n**2),,Graph Properties in the Adjacency Matrix Model,Polynomial,"Let <i>G</i> be a graph of <i>n</i> vertices. We are given access to\n an oracle, which given a pair of integers in {1,2,...,<i>n</i>} tells us whether the\n corresponding vertices are connected by an edge. Building on previous work \n [<a href=""#DH96"">35</a>,<a href=""#prev2"">52</a>,<a href=""#prev3"">36</a>], D&uuml;rr \n <i>et al.</i> [<a href=""#Durr_graphs"">34</a>] show that the quantum query complexity \n of finding a minimum spanning tree of weighted graphs, and deciding connectivity for \n directed and undirected graphs have \\( \\Theta(n^{3/2}) \\) quantum query complexity,\n and that finding lowest weight paths has \\( O(n^{3/2}\\log^2 n) \\) quantum query complexity. Deciding whether a graph is bipartite, detecting cycles, and deciding whether a given vertex can be reached from another (st-connectivity) can all be achieved using a number of queries and quantum gates that both scale as \\( \\widetilde{O}(n^{3/2}) \\), and only logarithmically many qubits, as shown in [<a href=""#CMB16"">317</a>], building upon [<a href=""#Berzina"">13</a>, <a href=""#Arins"">272</a>, <a href=""#BR12"">318</a>]. A span-program-based quantum algorithm for detecting trees of a given\n size as minors in \\( \\widetilde{O}(n) \\) time is given in\n [<a href=""#Wang13"">240</a>]. A graph property is \n sparse if there exists a constant <i>c</i> such that every graph with the property has\n a ratio of edges to vertices at most <i>c</i>. Childs and Kothari have shown that all \n sparse graph properties have query complexity \\( \\Theta(n^{2/3}) \\) if they cannot be\n characterized by a list of forbidden subgraphs and \\( o(n^{2/3}) \\) \n (<a href=""http://en.wikipedia.org/wiki/Big_O_notation#Little-o_notation"">little-o</a>)\n if they can [<a href=""#Childs_minor"">140</a>]. The former algorithm is based on Grover \n search, the latter on the quantum walk formalism of [<a href=""#Magniez_walk"">141</a>].\n By Mader\'s theorem, sparse graph properties include all nontrivial minor-closed properties.\n These include planarity, being a forest, and not containing a path of\n given length. According to the widely-believed Aanderaa-Karp-Rosenberg conjecture, all of the above problems have \\( \\Omega(n^2) \\) classical query complexity. Another\n interesting computational problem is finding a subgraph <i>H</i> in a given graph <i>G</i>.\n The simplest case of this finding the triangle, that is, the clique of size three. The\n fastest known quantum algorithm for this finds a triangle in \\( O(n^{5/4}) \\)\n quantum queries [<a href=""#CLM16"">319</a>], improving upon\n [<a href=""#LG14"">276</a>, <a href=""#Lee_Magniez_Santha12"">175</a>, <a href=""#Jeffery_Kothari_Magniez12"">171</a>, \n  <a href=""#Magniez_triangle"">70</a>, <a href=""#Belovs_Constant"">152</a>, \n  <a href=""#Buhrman_collision"">21</a>]. Stronger quantum query complexity upper bounds are known when the graphs are sufficiently sparse [<a href=""#CLM16"">319</a>, <a href=""#LS15"">320</a>]. Classically, triangle finding \n requires \\( \\Omega(n^2) \\) queries [<a href=""#Buhrman_collision"">21</a>]. \n More generally, a quantum computer can find an  \n arbitrary subgraph of <i>k</i> vertices using \\( O(n^{2-2/k-t}) \\) queries where \n \\( t=(2k-d-3)/(k(d+1)(m+2)) \\) and <i>d</i> and <i>m</i> are such that <i>H</i> has\n a vertex of degree <i>d</i> and <i>m</i>+<i>d</i> edges \n [<a href=""#Lee_Magniez_Santha"">153</a>]. This improves on the previous algorithm of\n [<a href=""#Magniez_triangle"">70</a>]. In some cases, this query complexity is beaten by\n the quantum algorithm of [<a href=""#Childs_minor"">140</a>], which finds <i>H</i>\n using \\( \\widetilde{O}\\left( n^{\\frac{3}{2}-\\frac{1}{\\mathrm{vc}(H)+1}} \\right) \\)\n queries, provided <i>G</i> is sparse, where vc(<i>H</i>) is the size of the minimal \n vertex cover of <i>H</i>. A quantum algorithm for finding\n constant-sized sub-hypergraphs over 3-uniform hypergraphs in \\(\n O(n^{1.883}) \\) queries is given in [<a href=""#LGNT13"">241</a>].\n",,
O(N sqrt(n)),,,Graph Properties in the Adjacency List Model,Polynomial,"Let <i>G</i> be a graph of <i>N</i> vertices, <i>M</i> edges, and \n degree <i>d</i>. We are given access to an oracle which, when queried with the label\n of a vertex and \\( j \\in \\{1,2,\\ldots,d\\} \\) outputs the <i>j</i>th neighbor of the\n vertex or null if the vertex has degree less than <i>d</i>. Suppose we are given the\n promise that <i>G</i> is either bipartite or is far from bipartite in the sense that\n a constant fraction of the edges would need to be removed to achieve bipartiteness. Then,\n as shown in [<a href=""#Ambainis_Childs_Liu"">144</a>], the quantum complexity of deciding\n bipartiteness is \\( \\widetilde{O}(N^{1/3}) \\). Also in [<a href=""#Ambainis_Childs_Liu"">144</a>],\n it is shown that distinguishing expander graphs from graphs that are far from\n being expanders has quantum complexity \\( \\widetilde{O}(N^{1/3}) \\) and \n \\( \\widetilde{\\Omega}(N^{1/4}) \\), whereas the classical complexity is \n \\( \\widetilde{\\Theta}(\\sqrt{N}) \\). The key quantum algorithmic tool is Ambainis\' algorithm for\n element distinctness. In [<a href=""#Durr_graphs"">34</a>], it is shown that finding a minimal\n spanning tree has quantum query complexity \\( \\Theta(\\sqrt{NM}) \\), deciding graph \n connectivity has quantum query complexity \\( \\Theta(N) \\) in the undirected case, and\n \\( \\widetilde{\\Theta}(\\sqrt{NM}) \\) in the directed case, and computing the lowest weight\n path from a given source to all other vertices on a weighted graph has quantum\n query complexity \\( \\widetilde{\\Theta}(\\sqrt{NM}) \\). In [<a href=""#CMB16"">317</a>] quantum algorithms are given for st-connectivity, deciding bipartiteness, and deciding whether a graph is a forest, which run in \\( \\widetilde{O}(N \\sqrt{d}) \\) time and use only logarithmically many qubits. \n",,
,,,Welded Tree,Superpolynomial,"Some computational problems can be phrased in terms of the query \n complexity of finding one\'s way through a maze. That is, there is some graph <i>G</i>\n to which one is given oracle access. When queried with the label of a given node,\n the oracle returns a list of the labels of all adjacent nodes. The task is, starting\n from some source node (<i>i.e.</i> its label), to find the label of a certain marked\n destination node. As shown by Childs <i>et al.</i> [<a href=""#Childs_weld"">26</a>], \n quantum computers can exponentially outperform classical computers at this task for\n at least some graphs. Specifically, consider the graph obtained by joining together\n two depth-<i>n</i> binary trees by a random ""weld"" such that all nodes but the two\n roots have degree three. Starting from one root, a quantum computer can find the other \n root using poly(<i>n</i>) queries, whereas this is provably impossible using classical\n queries. \n",,
O(N**(2/3)),,,Collision Finding and Element Distinctness,Polynomial,"Suppose we are given oracle access to a two to one\n function <i>f</i> on a domain of size <i>N</i>. The collision problem\n is to find a pair \\( x,y \\in \\{1,2,\\ldots,N\\} \\) such that <i>f(x) = f(y)</i>.\n The classical randomized query complexity of this problem is \\( \\Theta(\\sqrt{N}) \\),\n whereas, as shown by Brassard <i>et al.</i>, a quantum computer can achieve this \n using \\(O(N^{1/3}) \\) queries [<a href=""#Brassard_collision"">18</a>]. (See also [<a href=""#BHT98b"">315</a>].) Removing the\n promise that <i>f</i> is two-to-one yields a problem called element distinctness, which\n has \\( \\Theta(N) \\) classical query complexity. Improving upon\n [<a href=""#Buhrman_collision"">21</a>], Ambainis gives a quantum algorithm with query \n complexity of \\( O(N^{2/3}) \\) for element distinctness, which is\n optimal [<a href=""#Ambainis_distinctness"">7</a>, <a href=""#P17"">374</a>]. The problem of\n deciding whether any <i>k</i>-fold collisions exist is\n called <i>k</i>-distinctness. Improving upon\n [<a href=""#Ambainis_distinctness"">7</a>,<a href=""#Belovs_Lee"">154</a>],\n the best quantum query complexity for <i>k</i>-distinctness is\n \\( O(n^{3/4 - 1/(4(2^k-1))}) \\)\n [<a href=""#Belovs12"">172</a>, <a href=""#Childs_Jeffery_Kothari_Magniez13"">173</a>]. For <i>k</i>=2,3 this is also the time-complexity, up to logarithmic \n factors, by  [<a href=""#Ambainis_distinctness"">7</a>]. For \\( k > 3\\) the fastest known quantum algorithm has time complexity \\( O(n^{(k-1)/k}) \\) [<a href=""#Jefferythesis"">363</a>].\n Given two functions <i>f</i> and <i>g</i>, on domains of\n size <i>N</i> and <i>M</i>, respectively a claw is a pair <i>x,y</i> such that <i>f(x) =\n g(y)</i>. In the case that <i>N</i>=<i>M</i>, the algorithm of  [<a href=""#Ambainis_distinctness"">7</a>]\n solves claw-finding in \\( O(N^{2/3}) \\) queries, improving on the previous \\( O(N^{3/4} \\log N) \\) quantum algorithm\n of [<a href=""#Buhrman_collision"">21</a>]. Further work gives improved query complexity for various parameter regimes\nin which \\(N \\neq M\\) [<a href=""#Tani"">364</a>, <a href=""#IwamaKawachi"">365</a>].  More generally, a related problem to\n element distinctness, is, given oracle access to a sequence, to\n estimate the \\(k^{\\mathrm{th}}\\) frequency moment \\(F_k = \\sum_j n_j^k\n \\), where \\(n_j\\) is the number of times that <i>j</i> occurs in the\n sequence. An approximately quadratic speedup for this problem is\n obtained in [<a href=""#M15c"">277</a>]. See also <a href=""#graph_collision"">graph collision</a>.\n",,
O(N**(2/3)),,,Graph Collision,Polynomial,"\nWe are given an undirected graph of <i>n</i> vertices and oracle\naccess to a labelling of the vertices by 1 and 0. The graph collision\nproblem is, by querying this oracle, to decide whether there exist a\npair of vertices, connected by an edge, both of which are labelled\n1. One can embed Grover\'s unstructured search problem as an instance\nof graph collision by choosing the star graph, labelling the center 1,\nand labelling the remaining vertices by the database entries. Hence,\nthis problem has quantum query complexity \\( \\Omega(\\sqrt{n}) \\) and\nclassical query complexity \\( \\Theta (n) \\). In\n[<a href=""#Magniez_triangle"">70</a>], Magniez, Nayak, and Szegedy gave\na \\( O(N^{2/3}) \\)-query quantum algorithm for graph collision on\ngeneral graphs. This remains the best upper bound on quantum query\ncomplexity for this problem on general graphs. However, stronger upper\nbounds have been obtained for several special classes of\ngraphs. Specifically, the quantum query complexity on a\ngraph <i>G</i> is  \\( \\widetilde{O}(\\sqrt{n} + \\sqrt{l}) \\) where <i>l</i>\nis the number of non-edges in <i>G</i> [<a href=""#JKM"">161</a>],\n\\(O(\\sqrt{n} \\alpha^{1/6}) \\) where \\(\\alpha\\) is the size of the\nlargest independent set of <i>G</i> [<a href=""#Belovs12"">172</a>],\n\\(O(\\sqrt{n} + \\sqrt{\\alpha^*})\\) where \\( \\alpha^* \\) is the maximum\ntotal degree of any independent set of <i>G</i>\n[<a href=""#GI12"">200</a>], and \\(O(\\sqrt{n} t^{1/6}) \\) where <i>t</i> is\nthe treewidth of <i>G</i> [<a href=""#ABI13"">201</a>]. Furthermore, the\nquantum query complexity is  \\( \\widetilde{O}(\\sqrt{n}) \\) with high\nprobability for random graphs in which the presence or absence of an\nedge between each pair of vertices is chosen independently with fixed\nprobability, (<i>i.e.</i> Erd&#337;s-R&eacute;nyi graphs)\n[<a href=""#GI12"">200</a>]. See [<a href=""#ABI13"">201</a>] for a\nsummary of these results as well as new upper bounds for two\nadditional classes of graph that are too complicated to describe here.\n",,
O(k**(4/5)n**(9/5)),O( k n**2 ),,Matrix Commutativity,Polynomial,"We are given oracle access to <i>k</i> matrices, each of which are\n \\( n \\times n \\). Given integers \\( i,j \\in \\{1,2,\\ldots,n\\} \\), and\n \\( x \\in \\{1,2,\\ldots,k\\} \\) the oracle returns the <i>ij</i> matrix element of the \n \\( x^{\\mathrm{th}} \\) matrix. The task is to decide whether all of these <i>k</i>\n matrices commute. As shown by Itakura [<a href=""#Itakura"">54</a>], this can be achieved\n on a quantum computer using \\( O(k^{4/5}n^{9/5}) \\) queries, whereas classically this\n requires \\( \\Omega( k n^2 ) \\) queries.\n",,
widetilde( Theta)(n**(2/3)),,,Group Commutativity,Polynomial,"We are given a list of <i>k</i> generators for a group <i>G</i> and\n access to a blackbox implementing group multiplication. By querying this blackbox we \n wish to determine whether the group is commutative. The best known classical algorithm\n is due to Pak and requires <i>O(k)</i> queries. Magniez and Nayak have shown that the \n quantum query complexity of this task is \\( \\widetilde{\\Theta}(k^{2/3}) \\)\n [<a href=""#Magniez_Nayak"">139</a>].\n",,
,,,Hidden Nonlinear Structures,Superpolynomial,"Any Abelian group <i>G</i> can be visualized as a lattice. A subgroup\n <i>H</i> of <i>G</i> is a sublattice, and the cosets of <i>H</i> are all the shifts of\n that sublattice. The Abelian hidden subgroup problem is normally solved by obtaining\n superposition over a random coset of the Hidden subgroup, and then taking the Fourier\n transform so as to sample from the dual lattice. Rather than generalizing to\n non-Abelian groups (see <a href=""#nonabelian_HSP"">non-Abelian hidden subgroup</a>), one can instead generalize to\n the problem of identifying hidden subsets other than lattices. As shown by Childs \n<i>et al.</i> [<a href=""#Childs_nonlinear"">23</a>] this problem is efficiently solvable\n on quantum computers for certain subsets defined by polynomials, such as spheres. \n Decker <i>et al.</i> showed how to efficiently solve some related problems in \n [<a href=""#Wocjan_nonlinear"">31</a>, <a href=""#DHIS13"">212</a>].\n",,
,,,Center of Radial Function,Polynomial,"We are given an oracle that evaluates a function <i>f</i> from \n \\( \\mathbb{R}^d \\) to some arbitrary set <i>S</i>, where <i>f</i> is spherically \n symmetric. We wish to locate the center of symmetry, up to some precision. \n (For simplicity, let the precision be fixed.) In [<a href=""#Liu"">110</a>], \n Liu gives a  quantum algorithm, based on a curvelet transform, that solves \n this problem using a constant number of quantum queries independent of \n <i>d</i>. This constitutes a polynomial speedup over the classical lower \n bound, which is \\( \\Omega(d) \\) queries. The algorithm works when the function\n <i>f</i> fluctuates on sufficiently small scales, <i>e.g.</i>, when the level sets \n of <i>f</i> are sufficiently thin spherical shells. The quantum algorithm is shown\n to work in an idealized continuous model, and nonrigorous arguments suggest that\n discretization effects should be small.\n",,
,,,Group Order and Membership,Superpolynomial,"Suppose a finite group <i>G</i> is given oracularly in the following way.\n To every element in <i>G</i>, one assigns a corresponding label. Given an ordered pair of\n labels of group elements, the oracle returns the label of their product. There are several\n classically hard problems regarding such groups. One is to find the group\'s order, given the\n labels of a set of generators. Another task is, given a bitstring, to decide whether it \n corresponds to a group element. The constructive version of this membership problem requires,\n in the yes case, a decomposition of the given element as a product of group generators. \n Classically, these problems cannot be solved using polylog(|<i>G</i>|) queries even if \n <i>G</i> is Abelian. For Abelian groups, quantum computers can solve these problems using\n polylog(|<i>G</i>|) queries by reduction to the Abelian hidden subgroup problem, as shown \n by Mosca [<a href=""#Mosca_thesis"">74</a>]. Furthermore, as shown by Watrous \n [<a href=""#Watrous_solvable"">91</a>], quantum computers can solve these problems\n using polylog(|<i>G</i>|) queries for any solvable group. For groups given as matrices\n over a finite field rather than oracularly, the order finding and constructive membership\n problems can be solved in polynomial time by using the quantum algorithms for discrete log\n and factoring [<a href=""#Babai"">124</a>]. See also <a href=""#group_isomorphism"">group isomorphism</a>.\n",,
,,,Group Isomorphism,Superpolynomial,"Let <i>G</i> be a finite group. To every element of \n<i>G</i> is assigned an arbitrary label (bit string). Given an ordered pair\nof labels of group elements, the group oracle returns the label of their\nproduct. Given access to the group oracles for two groups <i>G</i> and \n<i>G\'</i>, and a list of generators for each group, we must decide whether\n<i>G</i> and <i>G\'</i> are isomorphic. For Abelian groups, we can solve this\nproblem using poly(log |<i>G</i>|, log |<i>G\'</i>|) queries to the oracle\nby applying the quantum algorithm of [<a href=""#Cheung_Mosca"">127</a>], which\ndecomposes any Abelian group into a canonical direct product of cyclic groups.\nThe quantum algorithm of [<a href=""#LeGall"">128</a>] solves the group\nisomorphism problem using poly(log |<i>G</i>|, log |<i>G\'</i>|) queries for a\ncertain class of non-Abelian groups. Specifically, a group <i>G</i> is in this\nclass if <i>G</i> has a normal Abelian subgroup <i>A</i> and an element \n<i>y</i> of order coprime to |<i>A</i>| such that G\n= <i>A</i>, <i>y</i>. Zatloukal has recently given an exponential\nquantum speedup for some instances of a problem closely related to\ngroup isomorphism, namely testing equivalence of group extensions\n[<a href=""#Z13"">202</a>].\n",,
O(N**(1/3)),,,Statistical Difference,Polynomial,"Suppose we are given two black boxes <i>A</i> and <i>B</i>\n whose domain is the integers 1 through <i>T</i> and whose range is the integers\n 1 through <i>N</i>. By choosing uniformly at random among allowed inputs we obtain a\n probability distribution over the possible outputs. We wish to approximate to constant \n precision the L1 distance between the probability distributions determined by <i>A</i> \n and <i>B</i>. Classically the number of necessary queries scales essentially linearly \n with N. As shown in [<a href=""#Bravyi_difference"">117</a>], a quantum computer can\n achieve this using \\( O(\\sqrt{N}) \\) queries. Approximate uniformity and orthogonality\n of probability distributions can also be decided on a quantum computer using \n \\( O(N^{1/3}) \\) queries. The main tool is the quantum counting algorithm of \n [<a href=""#BHT98"">16</a>]. A further improved quantum algorithm for\n this task is obtained in [<a href=""#M15b"">265</a>].\n",,
,,,Finite Rings and Ideals,Superpolynomial,"Suppose we are given black boxes implementing the addition and\n multiplication operations on a finite ring <i>R</i>, not necessarily commutative, along\n with a set of generators for <i>R</i>. With respect to addition, <i>R</i> forms a \n finite Abelian group (<i>R</i>,+). As shown in [<a href=""#Arvind"">119</a>], on a quantum\n computer one can find in poly(log |<i>R</i>|) time a set of additive generators\n \\( \\{h_1,\\ldots,h_m\\} \\subset R \\) such that \n \\( (R,+) \\simeq \\langle h_1 \\rangle \\times \\ldots \\times \\langle h_M \\rangle\\)\n and <i>m</i> is polylogarithmic in |<i>R</i>|. This allows efficient computation of a \n multiplication tensor for <i>R</i>. As shown in [<a href=""#WJAB"">118</a>], one can \n similarly find an additive generating set for any ideal in <i>R</i>. This allows one \n to find the intersection of two ideals, find their quotient, prove whether a given ring\n element belongs to a given ideal, prove whether a given element is a unit and if so \n find its inverse, find the additive and multiplicative identities, compute the order of\n an ideal, solve linear equations over rings, decide whether an ideal is maximal, find \n annihilators, and test the injectivity and surjectivity of ring homomorphisms. As shown \n in [<a href=""#Arvind2"">120</a>], one can also use a quantum computer to efficiently \n decide whether a given polynomial is identically zero on a given finite black box ring. \n Known classical algorithms for these problems scale as poly(|<i>R</i>|).\n",,
O(n**(1/4)),O(n log(N/n)),,Counterfeit Coins,Polynomial,"Suppose we are given <i>N</i> coins, <i>k</i> of which are \n counterfeit. The real coins are all of equal weight, and the counterfeit coins are \n all of some other equal weight. We have a pan balance and can compare the weight of\n any pair of subsets of the coins. Classically, we need \\( \\Omega(k \\log(N/k)) \\)\n weighings to identify all of the counterfeit coins. We can introduce an oracle such\n that given a pair of subsets of the coins of equal cardinality, it outputs one bit\n indicating balanced or unbalanced. Building on previous work by Terhal and Smolin\n [<a href=""#TS"">137</a>], Iwama <i>et al.</i> have shown [<a href=""#Iwama"">136</a>] \n that on a quantum computer, one can identify all of the counterfeit coins using\n \\( O(k^{1/4}) \\) queries. The core techniques behind the quantum speedup are amplitude\n amplification and the Bernstein-Vazirani algorithm.",,
